fold,cutoff,n_test_rows,wmape_baseline,bias_baseline,wmape_lgb,bias_lgb
0,2023-05-31,56000,0.7340008429637036,-0.012286686074435655,0.6053635891516922,-0.032036803026447944
1,2023-08-29,56000,0.7671333899058471,0.01900230330949206,0.5943275551643029,0.004686640739026202
2,2023-11-27,56000,0.7410277756058522,-0.013076013816512664,0.6053175154254214,-0.013571756882186852
3,2024-02-25,56000,0.7648219280458519,0.018485852607747134,0.5931550061974998,0.020749626202091923
4,2024-05-25,56000,0.7716482062261624,-0.0027865492514511036,0.632484720837388,-0.005492448974509073
5,2024-08-23,56000,0.7912661974335108,0.008026815315268205,0.6200971983195281,0.010002531945197502
6,2024-11-21,56000,0.7919935399563253,-0.025757687582215777,0.6178678257876903,-0.05293069740705887
